Connected, dumping recent logs for app cf-js-example-post in org jashuntest-org / space development as jashunwan01@gmail.com...

2017-01-07T12:56:40.58+0800 [API/5]      OUT Created app with guid 5f27d930-cf28-4b66-9223-75f7342e96fb
2017-01-07T12:56:45.53+0800 [API/2]      OUT Updated app with guid 5f27d930-cf28-4b66-9223-75f7342e96fb ({"route"=>"98d3e39a-1b0c-4a63-bc1d-3daf4a094261", :verb=>"add", :relation=>"routes", :related_guid=>"98d3e39a-1b0c-4a63-bc1d-3daf4a094261"})
2017-01-07T12:57:10.76+0800 [API/0]      OUT Updated app with guid 5f27d930-cf28-4b66-9223-75f7342e96fb ({"state"=>"STARTED"})
2017-01-07T12:57:11.06+0800 [STG/0]      OUT Downloading binary_buildpack...
2017-01-07T12:57:11.06+0800 [STG/0]      OUT Downloading go_buildpack...
2017-01-07T12:57:11.06+0800 [STG/0]      OUT Downloading php_buildpack...
2017-01-07T12:57:11.06+0800 [STG/0]      OUT Downloading nodejs_buildpack...
2017-01-07T12:57:11.07+0800 [STG/0]      OUT Downloading dotnet_core_buildpack...
2017-01-07T12:57:11.09+0800 [STG/0]      OUT Downloaded dotnet_core_buildpack
2017-01-07T12:57:11.09+0800 [STG/0]      OUT Downloading dotnet_core_buildpack_beta...
2017-01-07T12:57:11.11+0800 [STG/0]      OUT Downloaded nodejs_buildpack
2017-01-07T12:57:11.11+0800 [STG/0]      OUT Downloading python_buildpack...
2017-01-07T12:57:11.12+0800 [STG/0]      OUT Downloaded binary_buildpack
2017-01-07T12:57:11.12+0800 [STG/0]      OUT Downloading java_buildpack...
2017-01-07T12:57:11.12+0800 [STG/0]      OUT Downloaded go_buildpack
2017-01-07T12:57:11.12+0800 [STG/0]      OUT Downloading staticfile_buildpack...
2017-01-07T12:57:11.13+0800 [STG/0]      OUT Downloaded dotnet_core_buildpack_beta
2017-01-07T12:57:11.13+0800 [STG/0]      OUT Downloading ruby_buildpack...
2017-01-07T12:57:11.16+0800 [STG/0]      OUT Downloaded java_buildpack
2017-01-07T12:57:11.16+0800 [STG/0]      OUT Downloaded python_buildpack
2017-01-07T12:57:11.17+0800 [STG/0]      OUT Downloaded staticfile_buildpack
2017-01-07T12:57:11.17+0800 [STG/0]      OUT Downloaded ruby_buildpack
2017-01-07T12:57:11.85+0800 [STG/0]      OUT Downloaded php_buildpack
2017-01-07T12:57:11.85+0800 [STG/0]      OUT Creating container
2017-01-07T12:57:13.85+0800 [STG/0]      OUT Successfully created container
2017-01-07T12:57:13.85+0800 [STG/0]      OUT Downloading app package...
2017-01-07T12:57:14.17+0800 [STG/0]      OUT Downloaded app package (1.6M)
2017-01-07T12:57:14.17+0800 [STG/0]      OUT Staging...
2017-01-07T12:57:14.73+0800 [STG/0]      OUT -------> Buildpack version 1.5.25
2017-01-07T12:57:14.78+0800 [STG/0]      OUT -----> Creating runtime environment
2017-01-07T12:57:14.78+0800 [STG/0]      OUT        
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── wordwrap@0.0.3
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        └── yargs@3.10.0
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        
2017-01-07T13:43:38.70+0800 [STG/0]      OUT Exit status 0
2017-01-07T13:43:38.70+0800 [STG/0]      OUT Staging complete
2017-01-07T13:43:38.70+0800 [STG/0]      OUT Uploading droplet, build artifacts cache...
2017-01-07T13:43:38.70+0800 [STG/0]      OUT Uploading build artifacts cache...
2017-01-07T13:43:38.70+0800 [STG/0]      OUT Uploading droplet...
2017-01-07T13:43:38.81+0800 [STG/0]      OUT Uploaded build artifacts cache (2.8M)
2017-01-07T13:43:43.00+0800 [STG/0]      OUT Uploaded droplet (12.2M)
2017-01-07T13:43:43.00+0800 [STG/0]      OUT Uploading complete
2017-01-07T13:43:43.04+0800 [STG/0]      OUT Destroying container
2017-01-07T13:43:43.84+0800 [CELL/0]     OUT Creating container
2017-01-07T13:43:44.44+0800 [STG/0]      OUT Successfully destroyed container
2017-01-07T13:43:45.20+0800 [CELL/0]     OUT Successfully created container
2017-01-07T13:43:47.93+0800 [CELL/0]     OUT Starting health monitoring of container
2017-01-07T13:43:48.58+0800 [APP/PROC/WEB/0]OUT > cf-js-example-post@0.0.1 start /home/vcap/app
2017-01-07T13:43:48.58+0800 [APP/PROC/WEB/0]OUT > node app.js
2017-01-07T13:43:49.26+0800 [APP/PROC/WEB/0]OUT Express server listening on port 8080
2017-01-07T13:43:49.27+0800 [APP/PROC/WEB/0]ERR /home/vcap/app/node_modules/mongodb/lib/server.js:265
2017-01-07T13:43:49.27+0800 [APP/PROC/WEB/0]ERR         process.nextTick(function() { throw err; })
2017-01-07T13:43:49.27+0800 [APP/PROC/WEB/0]ERR                                       ^
2017-01-07T13:43:49.27+0800 [APP/PROC/WEB/0]ERR MongoError: failed to connect to server [localhost:27017] on first connect
2017-01-07T13:43:49.27+0800 [APP/PROC/WEB/0]ERR     at null.<anonymous> (/home/vcap/app/node_modules/mongodb-core/lib/topologies/server.js:325:35)
2017-01-07T13:43:49.27+0800 [APP/PROC/WEB/0]ERR     at emitOne (events.js:77:13)
2017-01-07T13:43:49.27+0800 [APP/PROC/WEB/0]ERR     at emit (events.js:169:7)
2017-01-07T13:43:49.27+0800 [APP/PROC/WEB/0]ERR     at null.<anonymous> (/home/vcap/app/node_modules/mongodb-core/lib/connection/pool.js:270:12)
2017-01-07T13:43:49.27+0800 [APP/PROC/WEB/0]ERR     at g (events.js:260:16)
2017-01-07T13:43:49.27+0800 [APP/PROC/WEB/0]ERR     at emitTwo (events.js:87:13)
2017-01-07T13:43:49.27+0800 [APP/PROC/WEB/0]ERR     at emit (events.js:172:7)
2017-01-07T13:43:49.27+0800 [APP/PROC/WEB/0]ERR     at Socket.<anonymous> (/home/vcap/app/node_modules/mongodb-core/lib/connection/connection.js:173:49)
2017-01-07T13:43:49.27+0800 [APP/PROC/WEB/0]ERR     at Socket.g (events.js:260:16)
2017-01-07T13:43:49.27+0800 [APP/PROC/WEB/0]ERR     at emitOne (events.js:77:13)
2017-01-07T13:43:49.27+0800 [APP/PROC/WEB/0]ERR     at Socket.emit (events.js:169:7)
2017-01-07T13:43:49.27+0800 [APP/PROC/WEB/0]ERR     at emitErrorNT (net.js:1269:8)
2017-01-07T13:43:49.27+0800 [APP/PROC/WEB/0]ERR     at nextTickCallbackWith2Args (node.js:458:9)
2017-01-07T13:43:49.27+0800 [APP/PROC/WEB/0]ERR     at process._tickCallback (node.js:372:17)
2017-01-07T13:43:49.28+0800 [APP/PROC/WEB/0]ERR npm ERR! Linux 4.4.0-53-generic
2017-01-07T13:43:49.28+0800 [APP/PROC/WEB/0]ERR npm ERR! argv "/home/vcap/app/.heroku/node/bin/node" "/home/vcap/app/.heroku/node/bin/npm" "start"
2017-01-07T13:43:49.28+0800 [APP/PROC/WEB/0]ERR npm ERR! node v4.7.0
2017-01-07T13:43:49.28+0800 [APP/PROC/WEB/0]ERR npm ERR! npm  v2.15.11
2017-01-07T13:43:49.28+0800 [APP/PROC/WEB/0]ERR npm ERR! code ELIFECYCLE
2017-01-07T13:43:49.28+0800 [APP/PROC/WEB/0]ERR npm ERR! cf-js-example-post@0.0.1 start: `node app.js`
2017-01-07T13:43:49.28+0800 [APP/PROC/WEB/0]ERR npm ERR! Exit status 1
2017-01-07T13:43:49.28+0800 [APP/PROC/WEB/0]ERR npm ERR! 
2017-01-07T13:43:49.28+0800 [APP/PROC/WEB/0]ERR npm ERR! Failed at the cf-js-example-post@0.0.1 start script 'node app.js'.
2017-01-07T13:43:49.28+0800 [APP/PROC/WEB/0]ERR npm ERR! This is most likely a problem with the cf-js-example-post package,
2017-01-07T13:43:49.28+0800 [APP/PROC/WEB/0]ERR npm ERR! not with npm itself.
2017-01-07T13:43:49.28+0800 [APP/PROC/WEB/0]ERR npm ERR! Tell the author that this fails on your system:
2017-01-07T13:43:49.28+0800 [APP/PROC/WEB/0]ERR npm ERR!     node app.js
2017-01-07T13:43:49.28+0800 [APP/PROC/WEB/0]ERR npm ERR! You can get information on how to open an issue for this project with:
2017-01-07T13:43:49.28+0800 [APP/PROC/WEB/0]ERR npm ERR!     npm bugs cf-js-example-post
2017-01-07T13:43:49.28+0800 [APP/PROC/WEB/0]ERR npm ERR! Or if that isn't available, you can get their info via:
2017-01-07T13:43:49.28+0800 [APP/PROC/WEB/0]ERR npm ERR! 
2017-01-07T13:43:49.29+0800 [APP/PROC/WEB/0]ERR npm ERR!     npm owner ls cf-js-example-post
2017-01-07T13:43:49.29+0800 [APP/PROC/WEB/0]ERR npm ERR! There is likely additional logging output above.
2017-01-07T13:43:49.29+0800 [APP/PROC/WEB/0]ERR npm ERR! Please include the following file with any support request:
2017-01-07T13:43:49.29+0800 [APP/PROC/WEB/0]ERR npm ERR!     /home/vcap/app/npm-debug.log
2017-01-07T13:43:49.29+0800 [APP/PROC/WEB/0]OUT Exit status 1
2017-01-07T13:43:49.31+0800 [CELL/0]     OUT Exit status 0
2017-01-07T13:43:49.33+0800 [CELL/0]     OUT Destroying container
2017-01-07T13:43:49.33+0800 [API/4]      OUT Process has crashed with type: "web"
2017-01-07T13:43:49.35+0800 [API/4]      OUT App instance exited with guid 5f27d930-cf28-4b66-9223-75f7342e96fb payload: {"instance"=>"", "index"=>0, "reason"=>"CRASHED", "exit_description"=>"2 error(s) occurred:\n\n* 2 error(s) occurred:\n\n* Exited with status 1\n* cancelled\n* cancelled", "crash_count"=>1, "crash_timestamp"=>1483767829325481617, "version"=>"9a587916-d287-4503-a4d7-23317eccdd94"}
2017-01-07T13:43:49.70+0800 [CELL/0]     OUT Creating container
2017-01-07T13:43:50.78+0800 [CELL/0]     OUT Successfully destroyed container
2017-01-07T13:43:51.02+0800 [CELL/0]     OUT Successfully created container
2017-01-07T13:43:52.47+0800 [CELL/0]     OUT Starting health monitoring of container
2017-01-07T13:43:53.51+0800 [APP/PROC/WEB/0]OUT > cf-js-example-post@0.0.1 start /home/vcap/app
2017-01-07T13:43:53.51+0800 [APP/PROC/WEB/0]OUT > node app.js
2017-01-07T13:43:54.33+0800 [APP/PROC/WEB/0]OUT Express server listening on port 8080
2017-01-07T13:43:54.34+0800 [APP/PROC/WEB/0]ERR /home/vcap/app/node_modules/mongodb/lib/server.js:265
2017-01-07T13:43:54.34+0800 [APP/PROC/WEB/0]ERR         process.nextTick(function() { throw err; })
2017-01-07T13:43:54.34+0800 [APP/PROC/WEB/0]ERR                                       ^
2017-01-07T13:43:54.34+0800 [APP/PROC/WEB/0]ERR MongoError: failed to connect to server [localhost:27017] on first connect
2017-01-07T13:43:54.34+0800 [APP/PROC/WEB/0]ERR     at null.<anonymous> (/home/vcap/app/node_modules/mongodb-core/lib/topologies/server.js:325:35)
2017-01-07T13:43:54.34+0800 [APP/PROC/WEB/0]ERR     at emitOne (events.js:77:13)
2017-01-07T13:43:54.34+0800 [APP/PROC/WEB/0]ERR     at emit (events.js:169:7)
2017-01-07T13:43:54.34+0800 [APP/PROC/WEB/0]ERR     at null.<anonymous> (/home/vcap/app/node_modules/mongodb-core/lib/connection/pool.js:270:12)
2017-01-07T13:43:54.34+0800 [APP/PROC/WEB/0]ERR     at g (events.js:260:16)
2017-01-07T13:43:54.34+0800 [APP/PROC/WEB/0]ERR     at emitTwo (events.js:87:13)
2017-01-07T13:43:54.34+0800 [APP/PROC/WEB/0]ERR     at emit (events.js:172:7)
2017-01-07T13:43:54.34+0800 [APP/PROC/WEB/0]ERR     at Socket.<anonymous> (/home/vcap/app/node_modules/mongodb-core/lib/connection/connection.js:173:49)
2017-01-07T13:43:54.34+0800 [APP/PROC/WEB/0]ERR     at Socket.g (events.js:260:16)
2017-01-07T13:43:54.34+0800 [APP/PROC/WEB/0]ERR     at emitOne (events.js:77:13)
2017-01-07T13:43:54.34+0800 [APP/PROC/WEB/0]ERR     at Socket.emit (events.js:169:7)
2017-01-07T13:43:54.34+0800 [APP/PROC/WEB/0]ERR     at emitErrorNT (net.js:1269:8)
2017-01-07T13:43:54.34+0800 [APP/PROC/WEB/0]ERR     at nextTickCallbackWith2Args (node.js:458:9)
2017-01-07T13:43:54.34+0800 [APP/PROC/WEB/0]ERR     at process._tickCallback (node.js:372:17)
2017-01-07T13:43:54.35+0800 [APP/PROC/WEB/0]ERR npm ERR! Linux 4.4.0-53-generic
2017-01-07T13:43:54.35+0800 [APP/PROC/WEB/0]ERR npm ERR! argv "/home/vcap/app/.heroku/node/bin/node" "/home/vcap/app/.heroku/node/bin/npm" "start"
2017-01-07T13:43:54.35+0800 [APP/PROC/WEB/0]ERR npm ERR! node v4.7.0
2017-01-07T13:43:54.35+0800 [APP/PROC/WEB/0]ERR npm ERR! npm  v2.15.11
2017-01-07T13:43:54.35+0800 [APP/PROC/WEB/0]ERR npm ERR! code ELIFECYCLE
2017-01-07T13:43:54.35+0800 [APP/PROC/WEB/0]ERR npm ERR! cf-js-example-post@0.0.1 start: `node app.js`
2017-01-07T13:43:54.35+0800 [APP/PROC/WEB/0]ERR npm ERR! Exit status 1
2017-01-07T13:43:54.35+0800 [APP/PROC/WEB/0]ERR npm ERR! 
2017-01-07T13:43:54.35+0800 [APP/PROC/WEB/0]ERR npm ERR! Failed at the cf-js-example-post@0.0.1 start script 'node app.js'.
2017-01-07T13:43:54.36+0800 [APP/PROC/WEB/0]ERR npm ERR! This is most likely a problem with the cf-js-example-post package,
2017-01-07T13:43:54.36+0800 [APP/PROC/WEB/0]ERR npm ERR! not with npm itself.
2017-01-07T13:43:54.36+0800 [APP/PROC/WEB/0]ERR npm ERR! Tell the author that this fails on your system:
2017-01-07T13:43:54.36+0800 [APP/PROC/WEB/0]ERR npm ERR!     node app.js
2017-01-07T13:43:54.36+0800 [APP/PROC/WEB/0]ERR npm ERR! You can get information on how to open an issue for this project with:
2017-01-07T13:43:54.36+0800 [APP/PROC/WEB/0]ERR npm ERR!     npm bugs cf-js-example-post
2017-01-07T13:43:54.36+0800 [APP/PROC/WEB/0]ERR npm ERR! Or if that isn't available, you can get their info via:
2017-01-07T13:43:54.36+0800 [APP/PROC/WEB/0]ERR npm ERR! 
2017-01-07T13:43:54.36+0800 [APP/PROC/WEB/0]ERR npm ERR!     npm owner ls cf-js-example-post
2017-01-07T13:43:54.36+0800 [APP/PROC/WEB/0]ERR npm ERR! There is likely additional logging output above.
2017-01-07T13:43:54.37+0800 [APP/PROC/WEB/0]ERR npm ERR! Please include the following file with any support request:
2017-01-07T13:43:54.37+0800 [APP/PROC/WEB/0]ERR npm ERR!     /home/vcap/app/npm-debug.log
2017-01-07T13:43:54.38+0800 [APP/PROC/WEB/0]OUT Exit status 1
2017-01-07T13:43:54.41+0800 [CELL/0]     OUT Exit status 0
2017-01-07T13:43:54.43+0800 [CELL/0]     OUT Destroying container
2017-01-07T13:43:54.45+0800 [API/4]      OUT Process has crashed with type: "web"
2017-01-07T13:43:54.46+0800 [API/4]      OUT App instance exited with guid 5f27d930-cf28-4b66-9223-75f7342e96fb payload: {"instance"=>"", "index"=>0, "reason"=>"CRASHED", "exit_description"=>"2 error(s) occurred:\n\n* 2 error(s) occurred:\n\n* Exited with status 1\n* cancelled\n* cancelled", "crash_count"=>2, "crash_timestamp"=>1483767834426292172, "version"=>"9a587916-d287-4503-a4d7-23317eccdd94"}
2017-01-07T13:43:54.76+0800 [CELL/0]     OUT Creating container
2017-01-07T13:43:56.20+0800 [CELL/0]     OUT Successfully destroyed container
2017-01-07T13:43:56.70+0800 [CELL/0]     OUT Successfully created container
2017-01-07T13:43:58.70+0800 [CELL/0]     OUT Starting health monitoring of container
2017-01-07T13:43:59.58+0800 [APP/PROC/WEB/0]OUT > cf-js-example-post@0.0.1 start /home/vcap/app
2017-01-07T13:43:59.58+0800 [APP/PROC/WEB/0]OUT > node app.js
2017-01-07T13:44:00.23+0800 [APP/PROC/WEB/0]OUT Express server listening on port 8080
2017-01-07T13:44:00.24+0800 [APP/PROC/WEB/0]ERR /home/vcap/app/node_modules/mongodb/lib/server.js:265
2017-01-07T13:44:00.24+0800 [APP/PROC/WEB/0]ERR         process.nextTick(function() { throw err; })
2017-01-07T13:44:00.24+0800 [APP/PROC/WEB/0]ERR                                       ^
2017-01-07T13:44:00.24+0800 [APP/PROC/WEB/0]ERR MongoError: failed to connect to server [localhost:27017] on first connect
2017-01-07T13:44:00.24+0800 [APP/PROC/WEB/0]ERR     at null.<anonymous> (/home/vcap/app/node_modules/mongodb-core/lib/topologies/server.js:325:35)
2017-01-07T13:44:00.24+0800 [APP/PROC/WEB/0]ERR     at emitOne (events.js:77:13)
2017-01-07T13:44:00.24+0800 [APP/PROC/WEB/0]ERR     at emit (events.js:169:7)
2017-01-07T13:44:00.24+0800 [APP/PROC/WEB/0]ERR     at null.<anonymous> (/home/vcap/app/node_modules/mongodb-core/lib/connection/pool.js:270:12)
2017-01-07T13:44:00.24+0800 [APP/PROC/WEB/0]ERR     at g (events.js:260:16)
2017-01-07T13:44:00.24+0800 [APP/PROC/WEB/0]ERR     at emitTwo (events.js:87:13)
2017-01-07T13:44:00.24+0800 [APP/PROC/WEB/0]ERR     at emit (events.js:172:7)
2017-01-07T13:44:00.24+0800 [APP/PROC/WEB/0]ERR     at Socket.<anonymous> (/home/vcap/app/node_modules/mongodb-core/lib/connection/connection.js:173:49)
2017-01-07T13:44:00.24+0800 [APP/PROC/WEB/0]ERR     at Socket.g (events.js:260:16)
2017-01-07T13:44:00.24+0800 [APP/PROC/WEB/0]ERR     at emitOne (events.js:77:13)
2017-01-07T13:44:00.24+0800 [APP/PROC/WEB/0]ERR     at Socket.emit (events.js:169:7)
2017-01-07T13:44:00.24+0800 [APP/PROC/WEB/0]ERR     at emitErrorNT (net.js:1269:8)
2017-01-07T13:44:00.24+0800 [APP/PROC/WEB/0]ERR     at nextTickCallbackWith2Args (node.js:458:9)
2017-01-07T13:44:00.24+0800 [APP/PROC/WEB/0]ERR     at process._tickCallback (node.js:372:17)
2017-01-07T13:44:00.26+0800 [APP/PROC/WEB/0]ERR npm ERR! Linux 4.4.0-53-generic
2017-01-07T13:44:00.26+0800 [APP/PROC/WEB/0]ERR npm ERR! argv "/home/vcap/app/.heroku/node/bin/node" "/home/vcap/app/.heroku/node/bin/npm" "start"
2017-01-07T13:44:00.26+0800 [APP/PROC/WEB/0]ERR npm ERR! node v4.7.0
2017-01-07T13:44:00.26+0800 [APP/PROC/WEB/0]ERR npm ERR! npm  v2.15.11
2017-01-07T13:44:00.26+0800 [APP/PROC/WEB/0]ERR npm ERR! code ELIFECYCLE
2017-01-07T13:44:00.26+0800 [APP/PROC/WEB/0]ERR npm ERR! cf-js-example-post@0.0.1 start: `node app.js`
2017-01-07T13:44:00.27+0800 [APP/PROC/WEB/0]ERR npm ERR! Exit status 1
2017-01-07T13:44:00.27+0800 [APP/PROC/WEB/0]ERR npm ERR! 
2017-01-07T13:44:00.27+0800 [APP/PROC/WEB/0]ERR npm ERR! Failed at the cf-js-example-post@0.0.1 start script 'node app.js'.
2017-01-07T13:44:00.27+0800 [APP/PROC/WEB/0]ERR npm ERR! This is most likely a problem with the cf-js-example-post package,
2017-01-07T13:44:00.27+0800 [APP/PROC/WEB/0]ERR npm ERR! not with npm itself.
2017-01-07T13:44:00.27+0800 [APP/PROC/WEB/0]ERR npm ERR! Tell the author that this fails on your system:
2017-01-07T13:44:00.27+0800 [APP/PROC/WEB/0]ERR npm ERR!     node app.js
2017-01-07T13:44:00.27+0800 [APP/PROC/WEB/0]ERR npm ERR! You can get information on how to open an issue for this project with:
2017-01-07T13:44:00.27+0800 [APP/PROC/WEB/0]ERR npm ERR!     npm bugs cf-js-example-post
2017-01-07T13:44:00.27+0800 [APP/PROC/WEB/0]ERR npm ERR! Or if that isn't available, you can get their info via:
2017-01-07T13:44:00.27+0800 [APP/PROC/WEB/0]ERR npm ERR! 
2017-01-07T13:44:00.27+0800 [APP/PROC/WEB/0]ERR npm ERR!     npm owner ls cf-js-example-post
2017-01-07T13:44:00.27+0800 [APP/PROC/WEB/0]ERR npm ERR! There is likely additional logging output above.
2017-01-07T13:44:00.27+0800 [APP/PROC/WEB/0]ERR npm ERR! Please include the following file with any support request:
2017-01-07T13:44:00.27+0800 [APP/PROC/WEB/0]ERR npm ERR!     /home/vcap/app/npm-debug.log
2017-01-07T13:44:00.28+0800 [APP/PROC/WEB/0]OUT Exit status 1
2017-01-07T13:44:00.30+0800 [CELL/0]     OUT Exit status 0
2017-01-07T13:44:00.32+0800 [CELL/0]     OUT Destroying container
2017-01-07T13:44:00.33+0800 [API/0]      OUT Process has crashed with type: "web"
2017-01-07T13:44:00.34+0800 [API/0]      OUT App instance exited with guid 5f27d930-cf28-4b66-9223-75f7342e96fb payload: {"instance"=>"", "index"=>0, "reason"=>"CRASHED", "exit_description"=>"2 error(s) occurred:\n\n* 2 error(s) occurred:\n\n* Exited with status 1\n* cancelled\n* cancelled", "crash_count"=>3, "crash_timestamp"=>1483767840313081415, "version"=>"9a587916-d287-4503-a4d7-23317eccdd94"}
2017-01-07T13:44:02.23+0800 [CELL/0]     OUT Successfully destroyed container
